Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9946367002937045,0.9942883253369889,0.9961089494163424,0.9951978047107249
Naive Bayes,0.9636061805644235,0.9982918496827721,0.9363698786907759,0.9663399078776426
Random Forest,0.9894010981994636,0.9921910886541112,0.9887846189059282,0.9904849249111545
Neural Network,0.9785468011748181,0.9801142857142857,0.9814602883955138,0.9807868252516011
